Word	POS	Verified	Category	Canonical Name	WNet SenseKey	WN30 Synset	KM30 Name	WN2.0 Synset	KM20 Name	WordNet gloss	WordNet example usage
addition	n	okay	abs	addition	addition%1:04:02::	100363788	addition_n2	100347346	addition_n2	the act of adding one thing to another;	the addition of flowers created a pleasing effect; the addition of a leap day every four years
additional	adj	okay	quality		additional%5:00:03:additive:00	300048858	extra_s3	300049502	additional_s1	further or added;	called for additional troops; need extra help; an extra pair of shoes
additionally	r				additionally%4:02:00::	400046167	additionally_r1	400047105	in_addition_r1	in addition, by way of addition; furthermore;	he serves additionally as the CEO
additive	n			additive	additive%1:06:00::	102679788	additive_n1	102587795	additive_n1	something added to enhance food or gasoline or paint or medicine	
address	n	okay	loc	address	address%1:15:00::	108491027	address_n2	107974756	address_n2	the place where a person or organization can be found or communicated with	
Adelaide	n			Adelaide	adelaide%1:15:00::	108834543	Adelaide_n1	108289610	Adelaide_n1	the state capital of South Australia	
adenine	n		subst	adenine	adenine%1:27:00::	114706889	A_n4	113866525	A_n5	(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA	
adenosine	n		subst	adenosine	adenosine%1:27:00::	114707101	adenosine_n1	113866737	adenosine_n1	(biochemistry) a nucleoside that is a structural component of nucleic acids; it is present in all living cells in a combined form as a constituent of DNA and RNA and ADP and ATP and AMP	
adenovirus	n		living	adenovirus	adenovirus%1:05:00::	101330126	adenovirus_n1	101256236	adenovirus_n1	any of a group of viruses including those that in humans cause upper respiratory infections or infectious pinkeye	
adequate	adj				adequate%3:00:00::	300051045	adequate_a1	300054321	adequate_a1	having the requisite qualities or resources to meet a task;	she had adequate training; her training was adequate; she was adequate to the job; he was equal to the task
adequately	r				adequately%4:02:00::	400369718	adequately_r1	400147826	adequately_r1	in an adequate manner or to an adequate degree;	he was adequately prepared
adhesive	n		subst	adhesive	adhesive%1:27:00::	114702416	adhesive_n1	113862231	adhesive_n1	a substance that unites or bonds surfaces together	
adiabatic	adj				adiabatic%3:00:00::	300744141	adiabatic_a1	300713493	adiabatic_a1	occurring without loss or gain of heat;	adiabatic expansion
adjacent	adj				adjacent%5:00:00:close:01	300447472	next_s2	300421306	next_s1	nearest in space or position; immediately adjoining without intervening space;	had adjacent rooms; in the next room; the person sitting next to me; our rooms were side by side
adjective	n			adjective	adjective%1:10:00::	106321702	adjective_n1	105932634	adjective_n1	a word that expresses an attribute of something	
adjoin	v				adjoin%2:35:02::	201466978	butt_v1	201425369	butt_v1	lie adjacent to another or share a boundary;	Canada adjoins the U.S.; England marches with Scotland
adjust	v	okay	act		adjust%2:30:00::	200296178	adjust_v1	200287086	adjust_v1	alter or regulate so as to achieve accuracy or conform to a standard;	Adjust the clock, please; correct the alignment of the front wheels
adjustment	n			adjustment	adjustment%1:11:00::	107369604	adjustment_n1	106917801	adjustment_n1	making or becoming suitable; adjusting to circumstances	
administer	v	y			administer%2:29:00::	200081072	administer_v4	200078744	administer_v4	give or apply (medications)	
administration	n	y		administration	administration%1:28:00::	115266265	presidency_n1	114402649	presidency_n1	the tenure of a president;	things were quiet during the Eisenhower administration
administrative	adj				administrative%3:01:00::	302904075	administrative_a1	302766153	administrative_a1	of or relating to or responsible for administration	
administrator	n		human	administrator	administrator%1:18:00::	109770949	administrator_n1	109151371	administrator_n1	someone who administers a business	
admiral	n		human	admiral	admiral%1:18:00::	109771204	admiral_n1	109151626	admiral_n1	the supreme commander of a fleet; ranks above a vice admiral and below a fleet admiral	
admiration	n			admiration	admiration%1:12:01::	107500741	admiration_n1	107041476	admiration_n1	a feeling of delighted approval and liking	
admire	v				admire%2:37:00::	201827858	admire_v1	201774722	admire_v1	feel admiration for	
admiringly	r				admiringly%4:02:00::	400055859	admiringly_r1	400056932	admiringly_r1	with admiration;	he looked at his wife admiringly
admission	n			admission	admission%1:04:00::	101248191	admission_n1	101178182	admission_n1	the act of admitting someone to enter;	the surgery was performed on his second admission to the clinic
admit	v				admit%2:32:00::	200817311	admit_v1	200790973	admit_v1	declare to be true or admit the existence or reality or truth of;	He admitted his errors; She acknowledged that she might have forgotten
adolescence	n			adolescence	adolescence%1:28:00::	115147850	adolescence_n1	114290264	adolescence_n1	the time period between the beginning of puberty and adulthood	
adolescent	adj				adolescent%3:01:00::	302602261	adolescent_a1	302507571	adolescent_a1	relating to or peculiar to or suggestive of an adolescent;	adolescent problems
adopt	v				adopt%2:40:02::	202346895	adopt_v1	202279267	adopt_v1	choose and follow; as of theories, ideas, policies, strategies or plans;	She followed the feminist movement; The candidate espouses Republican ideals
adorably	r				adorably%4:02:00::	400265298	adorably_r1	400268089	adorably_r1	in an adorable manner;	the toddler behaved adorably
adore	v				adore%2:37:00::	201777817	adore_v1	201726283	adore_v1	love intensely;	he just adored his wife
adrenal	adj				adrenal%3:01:00::	302604343	adrenal_a1	302509265	adrenal_a1	of or pertaining to the adrenal glands or their secretions	
adrenaline	n		subst	adrenaline	adrenaline%1:08:00::	105408388	Adrenalin_n1	105099102	Adrenalin_n1	a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action	
adrenocorticotropic	adj				adrenocorticotropic%5:00:00:stimulative:00	302309668	adrenocorticotropic_s1	302227233	adrenocorticotropic_s1	stimulating or acting on the adrenal cortex	
